gid,lat,long,ano_farm_pop,mes_farm_pop,ds_endereco_farmacia,nu_cep_farmacia,uf,cidade
"65","-12.9297452","-38.4192541","2014","2","RUA PERIQUITOS SN TERREO","41260340","BA","Salvador"
"281","-1.4391409","-46.3624686","2014","2","RUA JUSTO CHERMONT SN","68620000","PA","Viseu"
"99","-3.7416377","-38.5230905","2014","2","RUA DO ROSÁRIO Nº283 TÉRREO","60055090","CE","Fortaleza"
"24","-4.4606478","-65.6658568","2014","2","RUA GETULIO VARGAS, 36","69470000","AM","Tefé"
"397","-8.7528012","-63.8679364","2014","2","AVENIDA MAMORE Nº 3590","7891049","RO","Porto Velho"
"85","-14.8498592","-40.8535212","2014","2","AV CEARA N 45","4502503","BA","Vitória da Conquista"
"2","-8.1727629","-70.3536699","2014","2","RUA FLORIANO PEIXOTO N º 901","69808030","AC","Rio Branco"
"218","-21.5576492","-45.4345074","2014","2","RUA SANTA RITA Nº 484","37002250","MG","Varginha"
"25","0.0272375","-51.1245677","2014","2","AVENIDA FAB, 1737","68906005","AP","Macapá"
"67","-12.9542364","-38.4495018","2014","2","AV EDGARD SANTOS SN","41192005","BA","Salvador"
"169","-3.7127631","-43.8673222","2014","2","RUA DR NINA RODRIGUES,20 B","65430000","MA","Vargem Grande"
"314","-7.9378695","-40.2271243","2014","2","PRAÇA PADRE FRANCISCO PEDRO DA SILVA","56200000","PE","Ouricuri"
"303","-6.7604571","-38.2308837","2014","2","RUA ODON BEZERRA N 07","58800130","PB","Sousa"
"293","-7.0973916","-34.8355672","2014","2","AV D PEDRO II,","5801342","PB","João Pessoa"
"170","-3.2329855","-46.1326778","2014","2","AVMILIAR,SN°BAIRRO VILA BEC","65365000","MA","Zé Doca"
"18","-3.0285642","-60.0201653","2014","2","AV BRASIL Nº 1325","69039110","AM","Manaus"
"206","-19.8057804","-44.0270562","2014","2","RUA JOAO DE DEUS GOMES Nº 30 A","33943720","MG","Ribeirão das Neves"
"238","-1.3942283","-48.4212808","2014","2","RUA LIBERDADE, N 672","67010250","PA","Ananindeua"
"118","-20.8478935","-41.1162273","2014","2","PRAÇA DE JERONIMO MONTEIRO Nº 101 ED. MAX TERREO","29300205","ES","Cachoeiro de Itapemirim"
"286","-7.2186163","-35.9032676","2014","2","R QUINZE DE NOVEMBRO, Nº 956","58102300","PB","Campina Grande"
"489","-22.2983392","-48.5528254","2014","2","RUA MARECHAL BITTENCOURT Nº 70","17201430","SP","Jaú"
"137","-16.28488","-48.9721848","2014","2","QUADRA 06 MC LOTE 06","73752106","GO","Planaltina"
"370","-22.8131062","-43.2207073","2014","2","PRAIA DO GALEAO, 92","21941510","RJ","Rio de Janeiro"
"423","-29.7637086","-51.1559259","2014","2","RUA SALDANHA DA GAMA, 817","93010020","RS","São Leopoldo"
"353","-22.8709554","-43.778885","2014","2","RUA CORONEL FREITAS Nº 783","23815260","RJ","Itaguaí"
"517","-22.0157824","-47.8847321","2014","2","PRACA PAUL PERCY HARRIS S/N","15010011","SP","São José do Rio Preto"
"413","-30.0310388","-51.2173798","2014","2","RUA RAMIRO BARCELOS Nº 2500","90035003","RS","Porto Alegre"
"495","-22.4361928","-46.9621201","2014","2","RUA MARCILIANO 372","13800012","SP","Moji Mirim"
"484","-23.7908044","-46.6395285","2014","2","RUA PIRACICABA Nº 146","8570050","SP","Itaquaquecetuba"
"501","-23.7110008","-46.4159681","2014","2","AV SANTO ANDRE Nº 238","9420000","SP","Ribeirão Pires"
"354","-22.6508601","-43.6591202","2014","2","AV LENY FERREIRA, Nº 230","26435210","RJ","Japeri"
"499","-22.9181418","-45.4580466","2014","2","RUA DOUTOR MONTEIRO DE GODOY Nº 349/351","12401390","SP","Pindamonhangaba"
"512","-23.6434885","-46.5834969","2014","2","RUA PIAGENTINI,Nº 138","9626130","SP","São Bernardo do Campo"
"432","-26.9859975","-48.6363818","2014","2","RUA 620 Nº 250 ESQUINA COM A 4º AVENIDA DO BAIRRO","88330104","SC","Balneário Camboriú"
"132","-16.6629826","-49.2651348","2014","2","AV. INDEPENDÊNCIA, Nº 4517  QUADRA 134 LOTE 29","74055050","GO","Goiânia"
"529","-23.602721","-46.5975964","2014","2","LARGO DO ROSARIO, Nº 121","3634020","SP","São Paulo"
"471","-23.5422696","-46.3671102","2014","2","RUA SANTOS DUMONT, 1161","8530000","SP","Ferraz de Vasconcelos"
"439","-27.8128864","-50.3236733","2014","2","RUA CAETANO VIEIRA DA COSTA Nº 883","88502070","SC","Lages"
"513","-23.6434885","-46.5834969","2014","2","RUA MARECHAL DEODORO Nº 1056","9721230","SP","São Bernardo do Campo"
"334","-25.4282779","-49.2714702","2014","2","RUA CANDIDO LOPES, 208 - TÉRREO","80020060","PR","Curitiba"
"434","-27.1120751","-52.6039235","2014","2","AV NEREU RAMOS, 973-D","89812110","SC","Chapecó"
"524","-23.602721","-46.5975964","2014","2","AVENIDA SAO JOAO Nº 35 LOJA 11","1011000","SP","São Paulo"
"337","-23.4272152","-51.9394126","2014","2","AV MONTEIRO LOBATO 1120","8705028","PR","Maringá"
"511","-23.6434885","-46.5834969","2014","2","RUA RIO ACIMA,Nº 622","9830100","SP","São Bernardo do Campo"
"131","-15.5591622","-47.3266162","2014","2","AV JOAO ISPER GERBRIM Nº 455","73813470","GO","Formosa"
"401","-31.3317595","-54.1038619","2014","2","RUA GENERAL JOAO TELES Nº 862","96400902","RS","Bagé"
"536","-23.5543289","-46.3204991","2014","2","RUA ESTRADA DO KOYAMA Nº 81","8633435","SP","Suzano"
"366","-22.466653","-44.4582937","2014","2","AVENIDA JOAO FERREIRA PINTO Nº 87","27510071","RJ","Resende"
"365","-22.7206969","-43.5546867","2014","2","RUA MANOEL AUGUSTO MUGUET Nº 280","26325250","RJ","Queimados"
"533","-22.8169239","-47.2701064","2014","2","RUA IPIRANGA 334","13170026","SP","Sumaré"
"541","-22.9763629","-47.0060226","2014","2","RUA JOSÉ MILANI,155","13270200","SP","Valinhos"
"506","-22.763025","-47.4147321","2014","2","PRACA JOAO XXIII S/N","13450018","SP","Santa Bárbara d'Oeste"
"507","-22.3439055","-46.9443786","2014","2","RUA CORONEL SEABRA Nº 321","9117000","SP","Santo André"
"496","-23.5376526","-46.7888967","2014","2","AV JOAO BATISTA N 99","6097090","SP","Osasco"
"538","-23.0309385","-45.5483236","2014","2","RUA DR JORGE WINTER Nº 232","12010120","SP","Taubaté"
"436","-27.5966","-48.554914","2014","2","FRANCISCO TOLENTINO LOJA 26 MERCADO PUBLICO","88010200","SC","Florianópolis"
"502","-21.2633373","-47.8056964","2014","2","PRAÇA BONFIM Nº 216","14110000","SP","Ribeirão Preto"
"514","-23.6434885","-46.5834969","2014","2","AVENIDA ROBERT KENNEDY, Nº 3438","9860215","SP","São Bernardo do Campo"
"406","-29.8377093","-51.1716107","2014","2","AV PRESIDENTE VARGAS,2504 LOJA 02","93260006","RS","Esteio"
"486","-23.2602249","-47.3002851","2014","2","PRAÇA REGENTE FEIJO, Nº 52","13300489","SP","Itu"
"468","-22.5706165","-44.9627584","2014","2","RUA CAPITAO OTAVIO RAMOS Nº 281","12701360","SP","Cruzeiro"
"340","-25.0510714","-50.1329473","2014","2","RUA DR COLARES, Nº 25","8401001","PR","Ponta Grossa"
"359","-22.8115519","-43.4143649","2014","2","RUA FREI LUDOLF SN LOTE 90","26510660","RJ","Nilópolis"
"516","-22.0157824","-47.8847321","2014","2","RUA SANTA CRUZ 198","13560680","SP","São Carlos"
"520","-23.602721","-46.5975964","2014","2","RUA FORCA PUBLICA, 64","2012080","SP","São Paulo"
"510","-23.9561778","-46.3121095","2014","2","RUA DA CONSTITUIÇÃO,Nº 315","11015471","SP","Santos"
"515","-23.6246954","-46.5475365","2014","2","RUA SANTO ANTONIO, Nº 50","9521160","SP","São Caetano do Sul"
"126","-16.3238612","-48.951776","2014","2","TRAVESSA OLIMPIO BARBOSA DE MELO Nº 63","75020090","GO","Anápolis"
"382","-22.1262347","-43.2207073","2014","2","TRAVESSA AUGUSTO DE ALMEIDA Nº 37","25804130","RJ","Três Rios"
"500","-23.5333005","-46.3311047","2014","2","RUA VINTE E SEIS DE MARCO Nº 483","8562140","SP","Poá"
"116","-15.79211","-47.897751","2014","2","QUADRA 08 COMERCIO LOCAL 03 LOJA 03 SERRA VERDE","73055502","DF","Brasília"
"480","-23.981256","-48.879531","2014","2","RUA FLORIANO PEIXOTO Nº 86","18400240","SP","Itapeva"
"369","-22.8976297","-43.1928756","2014","2","PRAÇA CHRISTIANO OTTONI S/N ESTAÇÃO FERROVIARIA D. PEDRO II","20221250","RJ","Rio de Janeiro"
"497","-23.5376526","-46.7888967","2014","2","AV DAS ESMERALDAS N 149 TERREO","6286010","SP","Osasco"
"505","-23.1993931","-47.304585","2014","2","RUA DR BARROS JUNIOR Nº 247","13320220","SP","Salto"
"142","-16.0559357","-48.004374","2014","2","RUA 73 QUADRA 109 LOTE 18 LOJA 01","72871073","GO","Valparaíso de Goiás"
"456","-22.6667456","-50.428232","2014","2","AVENIDA ARMANDO SALES DE OLIVEIRA","19802080","SP","Assis"
"487","-23.406486","-47.3486311","2014","2","RODOVIA WALDOMIRO CORREA CAMARGO Nº 14","13308104","SP","Itu"
"481","-23.5325624","-46.9772966","2014","2","AVENIDA PRESIDENTE VARGAS Nº 270","6694040","SP","Itapevi"
"339","-25.5664615","-48.571263","2014","2","RUA FELIPE CHEDE Nº 274","83215670","PR","Paranaguá"
"461","-22.8841363","-48.4412549","2014","2","PRACA QUINZE DE NOVEMBRO Nº 53","18600031","SP","Botucatu"
"400","-29.7789303","-55.7876454","2014","2","RUA CORONEL CABRITA, N 141","97541100","RS","Alegrete"
"525","-23.602721","-46.5975964","2014","2","AV DO CURSINO, 1274","4132000","SP","São Paulo"
"422","-29.7637086","-51.1559259","2014","2","AV. Integração, 1008","93010020","RS","São Leopoldo"
"135","-16.2511133","-47.9274618","2014","2","RUA 04 QUADRA 14 LOTE 37 LOJA 4/5","72814590","GO","Luziânia"
"221","-19.0050968","-57.636529","2014","2","RUA 13 DE JUNHO 1288","7933005","MS","Corumbá"
"467","-23.577352","-46.927097","2014","2","RUA ZACARIAS ANTONIO DA SILVA Nº 68","6716700","SP","Cotia"
"412","-28.2606602","-52.4012669","2014","2","RUA FAGUNDES DOS REIS, 215","99010100","RS","Passo Fundo"
"494","-22.7653095","-47.387329","2014","2","RUA SANTA HELENA,130","9390090","SP","Mauá"
"469","-23.6886288","-46.5850799","2014","2","RUA PROFESSORA VITALINA CAIAFFA ESQUIVEL Nº 54","9911180","SP","Diadema"
"331","-24.0430804","-52.3910015","2014","2","RUA ARARUNA 805","87302210","PR","Campo Mourão"
"437","-26.8929004","-48.7015768","2014","2","RUA CONEGO THOMAZ FONTES Nº 182","88310160","SC","Itajaí"
"508","-22.3439055","-46.9443786","2014","2","AV PRINCIPE DE GALES Nº 821","9000000","SP","Santo André"
"138","-17.7926515","-50.9328316","2014","2","RUA COSTA GOMES, 341","75901050","GO","Rio Verde"
"464","-22.9025112","-47.0570856","2014","2","RUA FERREIRA PENTEADO Nº 854","13010041","SP","Campinas"
"440","-27.6597149","-48.673985","2014","2","RUA PREFEITO NELSON MARTINS, 235","88131300","SC","Palhoça"
"472","-20.5293183","-47.3887179","2014","2","PRAÇA POMPILHO BESSA Nº 140","7901080","SP","Francisco Morato"
"482","-23.5325624","-46.9772966","2014","2","RUA AMIRABILE CHALUPPE, Nº 8","6680420","SP","Itapevi"
"338","-23.410858","-51.9447894","2014","2","AV. COLOMBO, Nº 5790 BLOCO QUADRA 04 ANEXO ZONA 07 CAMPOS DA UNIVERSIDADE","87020900","PR","Maringá"
"454","-21.203385","-50.4439728","2014","2","RUA SILVA JARDIM Nº 363","16010340","SP","Araçatuba"
"229","-11.8480193","-55.5081012","2014","2","RUA EUNAPOLIS S/N","78550171","MT","Sinop"
"462","-23.1078","-45.703852","2014","2","TRAVESSA DR. FREITAS Nº 21","12281550","SP","Caçapava"
