id,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia
603,51,32189000,95588000
604,54,33131900,93510030
605,54,33350100,95600000
606,44,33511550,87200000
607,45,39011603,85851000
608,53,32274131,96020000
609,47,34222318,89201601
610,51,33361909,90610000
611,69,35412347,76850000
612,41,33572771,82510160
613,47,3325151,89040002
614,51,34628016,92420000
615,42,36441020,85230000
616,48,32670779,88270000
617,51,35671004,93995000
618,19,34421788,13481045
619,54,34441846,99250000
620,54,32321327,95380000
621,54,34554166,95700000
622,42,36461334,85200000
623,54,3273-105,95340000
624,43,34352261,8526000
625,43,32601213,86620000
626,51,34230311,94100370
627,47,36222898,89460000
628,51,35111067,95270000
629,44,36281256,87230000
630,41,32963771,81570000
631,49,36640758,89874000
632,54,33350100,95400000
633,91,30844609,68515000
634,54,35251277,99810000
635,53,32293030,96015440
636,43,34321191,86900000
637,41,36214241,83404000
638,19,36314534,13876100
639,41,32138376,80050010
640,43,33799010,86010390
641,51,37244490,96506611
642,44,35531383,87380000
643,41,32138260,87013000
644,51,35111067,93700970
645,51,37161374,95940000
646,55,32653004,96540000
647,47,33741181,89275000
648,51,34690451,94910001
649,54,33131900,99400000
650,55,37441317,98400000
651,51,33407910,91160682
652,86,32219224,64001370
653,49,34350012,89683000
654,55,32331855,97340000
655,51,35111000,90020020
656,54,33271778,99025000
657,91,30844671,66645250
658,42,35228331,84600000
659,54,32821100,95680000
660,41,32485667,81050110
661,54,33350100,98170000
662,33,32671888,35200000
663,46,32244132,85509000
664,48,3647-113,88790000
665,46,32258682,85501050
666,91,30844609,66077590
667,54,33131900,95560000
668,54,33131900,98130000
669,54,33131900,95010005
670,49,32220735,88502200
671,51,32275770,90040193
672,51,34819500,80240030
673,54,33131900,95080190
674,43,34221819,86800005
675,54,33131900,95185000
676,54,33350100,95680000
677,47,33712110,89260160
678,55,37443620,9840000
679,42,32333629,84172010
680,43,34361281,86890000
681,41,33725191,82020000
682,45,32441470,85890000
683,45,32791088,85940000
684,54,33350100,97015510
685,53,32782333,96085000
686,54,33131900,96760000
687,51,32230178,90040341
688,51,37192188,96820050
689,55,32631222,97230000
690,54,33321600,99470000
691,54,33131900,97500004
692,54,33350100,97060002
693,51,32231044,90160001
694,43,32671241,86270000
695,54,33131900,97510001
696,43,34220502,86800120
697,91,30844609,66063010
698,55,32333232,97340000
699,43,35462252,84900000
700,54,33131900,96225000
701,42,35221439,89400000
702,54,33131900,95670000
703,55,37811229,98590000
704,51,37341314,96690000
705,41,33226010,80215170
706,48,36560157,88717000
707,54,33651138,99590000
708,54,33131900,96503491
709,41,32138260,80520250
710,55,30255533,97010080
711,51,37153016,96810150
712,55,34223366,97650000
713,42,36231268,85010290
714,91,30844609,68515000
715,47,33840223,89136000
716,51,36941019,96755000
717,41,32138344,89110000
718,41,32138376,81530001
719,53,32782211,96015140
720,41,32894143,81910210
721,55,35421132,98930000
722,48,33374574,88037001
723,51,34439224,94801970
724,47,35620247,89190000
725,44,30287997,87045270
726,46,35261233,85580000
727,41,34421212,83280000
728,44,36222571,87501030
729,51,3217270,90640000
730,41,32138242,81630000
731,89,34391104,64685000
732,54,33581510,95300000
733,45,35264664,85859490
734,51,35111067,96200370
735,51,33308632,90420041
736,43,32621518,86220000
737,51,33117241,90035006
738,91,30844608,66060020
739,51,33366262,90610000
740,48,34386356,88806500
741,44,34311372,87780000
742,51,35613535,93600000
743,46,32321185,85550000
744,54,34434242,99200000
745,51,35116754,96600000
746,44,35291912,87302080
747,54,33131900,95680000
748,47,35226578,89160000
749,54,33361110,99925000
750,47,33361545,89010201
751,49,32252137,88501000
752,51,35116754,95700000
753,51,34924575,94480500
754,54,35229996,99700000
755,54,33131900,8960000
756,19,38142434,13600690
757,54,33131900,97670000
758,47,33194743,88375000
759,91,32556999,67033009
760,54,33177083,99300000
761,54,33131900,94410300
762,41,32465144,81150040
763,41,32138344,82400000
764,41,33301729,82020000
765,51,32277948,90035074
766,54,33131900,97542000
767,54,32521406,99810000
768,48,36461288,88790000
769,54,3335-010,93125000
770,54,33131900,98700000
771,45,35651393,85877000
772,48,3334-603,88034001
773,45,32661388,85840000
774,51,35685520,93010060
775,54,33177083,95010002
776,43,35322220,86390000
777,47,34552910,89202003
778,54,34431305,99200000
779,43,32543271,86181010
780,44,36521584,87560000
781,47,34343689,89237000
782,43,33799002,86010000
783,47,33293950,89015200
784,51,35116754,93310001
785,71,36451060,48120000
786,51,34771182,94010000
787,48,3236-128,88047400
788,54,33350100,96200003
789,49,33613040,89802130
790,48,3243-631,88160000
791,47,33871255,89107000
792,17,32815025,15400000
793,19,38613281,13840056
794,49,33221973,89802002
795,51,35111067,96020080
796,49,34332114,89820000
797,51,35116754,93010002
798,44,32641154,87111120
799,49,32463038,89580000
800,47,33711188,89252280
801,43,31540900,86185520
802,48,32402322,88075301
803,38,38614344,13840031
804,51,35116754,91910001
805,41,34234068,83203010
806,11,44116986,12940500
807,51,32410048,91740001
808,31,38278200,35162359
809,42,32235070,84010120
810,42,32522362,84130000
811,44,35261392,85830000
812,48,33348400,88034000
813,48,34330368,88802000
814,34,33163100,38056060
815,46,32254872,85501000
816,41,36535654,81070150
817,46,35361015,85660000
818,51,34011317,92500000
819,41,32138242,86181000
820,46,35551142,85750000
821,54,35226219,99700000
822,33,32981169,35150000
823,48,36473021,88790000
824,19,38062915,13800002
825,86,32185397,64018901
826,54,32145339,95020172
827,46,32321161,85550000
828,31,34641293,30770550
829,51,33842257,90619900
830,44,32227888,87013000
831,54,33131900,98005000
832,45,32571184,85988000
833,51,3481-950,95010060
834,51,37081168,96890000
835,51,36253791,95555000
836,54,32862126,95670000
837,48,36260414,88701600
838,49,33254232,89885000
839,51,36371788,95770000
840,44,34411147,87890000
841,45,32256926,85817310
842,41,32138242,85010290
843,41,32138242,83203250
844,46,35471521,85640000
845,49,3566-626,89560000
846,34,38242048,38720000
847,47,34240669,89239100
848,55,32814278,96570000
849,51,32815641,96570000
850,49,32460067,89580000
851,54,33131900,95700000
852,51,35111067,96205001
853,91,3084-460,67200000
854,51,33404810,91380000
855,77,34512857,46430000
856,44,36495154,85950000
857,54,33131900,96400000
858,41,33522249,80030001
859,49,33670006,89855000
860,91,30844609,66090000
861,51,37421404,96900000
862,51,35116754,92330290
863,47,35212688,89160000
864,44,36351356,87225000
865,91,30844609,66023710
866,91,30844609,68600000
867,19,38142434,13465520
868,54,33350100,95095100
869,49,33613040,89803400
870,48,34660404,88870000
871,49,34449866,89700000
872,49,35662231,89560000
873,53,32521249,96600000
874,54,33131900,88502175
875,45,35741020,85863000
876,51,35111067,95555000
877,51,33285766,91330000
878,41,32138242,89010000
879,51,37301235,96685000
880,54,33131900,96202100
881,47,36427811,88300000
882,51,32189095,91770001
883,41,33924468,83601000
884,41,32138376,80060020
885,43,35611315,86480000
886,43,35250144,86400000
887,51,32302621,90110270
888,41,32138242,82840170
889,54,33131900,99500000
890,41,32322510,80010030
891,54,32243281,95045030
892,44,3523,87300010
893,42,35222683,84600000
894,51,36813092,95595000
895,51,36321062,95780000
896,49,32231932,88509130
897,54,33350100,99064000
898,41,32138376,84165000
899,44,32681891,87040360
900,45,32229847,85812003
901,48,32340633,88040001
902,53,32260096,96130000
903,48,32731233,88260000
904,48,30331808,88133400
905,51,35111067,91140000
906,54,33314944,99500000
907,46,35321774,85460000
908,55,35242305,98640000
909,54,33131900,98700000
910,48,32267792,88036003
911,47,32681425,88330055
912,54,33136641,99025000
913,41,32138344,85884000
914,91,30844609,66085005
915,54,33131900,90230120
916,42,36352127,85301050
917,47,35210888,89160000
918,95,36271810,69313612
919,93,37789422,68456110
920,51,36322777,95780000
921,19,38142434,13060080
922,41,32138242,88301001
923,53,32511987,96170000
924,54,33350100,92990000
925,47,33703153,89251000
926,41,33224591,80020310
927,54,33423100,99155000
928,47,34460296,88390000
929,19,38524000,13920000
930,51,35928005,93010002
931,54,33131900,95180000
932,54,33120258,99074360
933,51,37090014,95900000
934,54,33131900,95020172
935,41,32138376,83203000
936,17,32274176,15086080
937,98,32477977,65058320
938,47,33494251,88301300
939,51,35116754,98700000
940,48,35480195,88980000
941,47,34320344,89205100
942,47,35350011,88410000
943,53,32739467,96070000
944,88,35291337,63635000
945,91,30844609,66630505
946,35,35394004,37950000
947,41,3213-824,83040420
948,55,33318000,98700000
949,5,32477800,91920564
950,47,33781220,89095300
951,44,35312181,87250000
952,47,33268085,89010002
953,51,35111067,95096150
954,54,33231224,95985000
955,41,33221992,80020100
956,45,32861338,85790000
957,55,34121095,97500006
958,41,32138242,80240000
959,54,33131900,96450000
960,51,32212072,90030000
961,47,35451310,89172000
962,54,33131900,94810000
963,91,30844609,66095499
964,19,38067600,13801156
965,45,32321293,85400000
966,91,30844609,66617420
967,49,35221853,89600000
968,44,32751168,86960000
969,43,32651147,86240000
970,43,32571202,86613000
971,51,35111000,95190970
972,48,34647371,88884000
973,51,33410088,91040621
974,48,33332787,88010030
975,51,34819500,96085000
976,49,33293198,89801000
977,43,33799011,86010160
978,42,34461829,84400000
979,55,33524537,97800000
980,55,34336961,97650000
981,43,32351295,86140000
982,51,35111067,95650000
983,45,32791033,85940000
984,44,32343114,86730000
985,54,33951105,9980000
986,41,32138376,86010010
987,55,32512239,97700000
988,54,33131900,96230000
989,69,35212520,76890000
990,51,33303843,90670130
991,54,33131900,91010002
992,91,30844671,68682000
993,41,33233276,86015010
994,44,32269947,87013000
995,54,33350100,95555000
996,51,32666047,90820100
997,51,34881723,94040000
998,43,35321160,86390000
999,47,36441158,89295000
1000,49,34454753,89830000
1001,55,35221010,98600000
1002,54,33442424,99950000
1003,54,33441575,99950000
1004,91,36941535,68365000
1005,47,33711602,89251701
1006,37,32714244,35650000
1007,54,33131900,95650000
1008,41,36995104,83507270
1009,49,32231541,88509130
1010,41,3213-824,17011066
